Target,Group,Ring,Channel
thermal,1,3,1
thermal,1,135,1
Left,2,5,1
Left,2,6,1
Left,2,7,1
Left,2,8,1
Left,3,9,2
Left,3,10,2
Left,3,11,2
Left,3,12,2
Left,4,13,1
Left,4,14,1
Left,4,15,1
Left,4,16,1
Left,5,17,2
Left,5,18,2
Left,5,19,2
Left,5,20,2
Left,6,21,1
Left,6,22,1
Left,6,23,1
Left,6,24,1
Left,7,25,2
Left,7,26,2
Left,7,27,2
Left,7,28,2
Left,8,29,1
Left,8,30,1
Left,8,31,1
Left,8,32,1
Left,9,33,2
Left,9,34,2
Left,9,35,2
Left,9,36,2
Left,10,37,1
Left,10,38,1
Left,10,39,1
Left,10,40,1
Left,11,41,2
Left,11,42,2
Left,11,43,2
Left,11,44,2
Left,12,45,1
Left,12,46,1
Left,12,47,1
Left,12,48,1
Left,13,49,2
Left,13,50,2
Left,13,51,2
Left,13,52,2
Left,14,53,1
Left,14,54,1
Left,14,55,1
Left,14,56,1
Left,15,57,2
Left,15,58,2
Left,15,59,2
Left,15,60,2
Left,16,61,1
Left,16,62,1
Left,16,63,1
Left,16,64,1
Left,17,65,2
Left,17,66,2
Left,17,67,2
Left,17,68,2
Right,18,69,1
Right,18,70,1
Right,18,71,1
Right,18,72,1
Right,19,73,2
Right,19,74,2
Right,19,75,2
Right,19,76,2
Right,20,77,1
Right,20,78,1
Right,20,79,1
Right,20,80,1
Right,21,81,2
Right,21,82,2
Right,21,83,2
Right,21,84,2
Right,22,85,1
Right,22,86,1
Right,22,87,1
Right,22,88,1
Right,23,89,2
Right,23,90,2
Right,23,91,2
Right,23,92,2
Right,24,93,1
Right,24,94,1
Right,24,95,1
Right,24,96,1
Right,25,97,2
Right,25,98,2
Right,25,99,2
Right,25,100,2
Right,26,101,1
Right,26,102,1
Right,26,103,1
Right,26,104,1
Right,27,105,2
Right,27,106,2
Right,27,107,2
Right,27,108,2
Right,28,109,1
Right,28,110,1
Right,28,111,1
Right,28,112,1
Right,29,113,2
Right,29,114,2
Right,29,115,2
Right,29,116,2
Right,30,117,1
Right,30,118,1
Right,30,119,1
Right,30,120,1
Right,31,121,2
Right,31,122,2
Right,31,123,2
Right,31,124,2
Right,32,125,1
Right,32,126,1
Right,32,127,1
Right,32,128,1
Right,33,129,2
Right,33,130,2
Right,33,131,2
Right,33,132,2
thermal,34,4,2
thermal,34,136,2
