Target,Group,Ring,Channel
thermal,1,3,1
thermal,1,135,1
Control,2,5,1
Control,2,6,1
Control,2,7,1
Control,2,8,1
Control,3,9,2
Control,3,10,2
Control,3,11,2
Control,3,12,2
Control,4,13,1
Control,4,14,1
Control,4,15,1
Control,4,16,1
Control,5,17,2
Control,5,18,2
Control,5,19,2
Control,5,20,2
Control,6,21,1
Control,6,22,1
Control,6,23,1
Control,6,24,1
Control,7,25,2
Control,7,26,2
Control,7,27,2
Control,7,28,2
IgM,8,29,1
IgM,8,30,1
IgM,8,31,1
IgM,8,32,1
IgM,9,33,2
IgM,9,34,2
IgM,9,35,2
IgM,9,36,2
IgM,10,37,1
IgM,10,38,1
IgM,10,39,1
IgM,10,40,1
IgM,11,41,2
IgM,11,42,2
IgM,11,43,2
IgM,11,44,2
IgM,12,45,1
IgM,12,46,1
IgM,12,47,1
IgM,12,48,1
IgM,13,49,2
IgM,13,50,2
IgM,13,51,2
IgM,13,52,2
IgM,14,53,1
IgM,14,54,1
IgM,14,55,1
IgM,14,56,1
IgM,15,57,2
IgM,15,58,2
IgM,15,59,2
IgM,15,60,2
IgM,16,61,1
IgM,16,62,1
IgM,16,63,1
IgM,16,64,1
IgM,17,65,2
IgM,17,66,2
IgM,17,67,2
IgM,17,68,2
IgA,18,69,1
IgA,18,70,1
IgA,18,71,1
IgA,18,72,1
IgA,19,73,2
IgA,19,74,2
IgA,19,75,2
IgA,19,76,2
IgA,20,77,1
IgA,20,78,1
IgA,20,79,1
IgA,20,80,1
IgA,21,81,2
IgA,21,82,2
IgA,21,83,2
IgA,21,84,2
IgA,22,85,1
IgA,22,86,1
IgA,22,87,1
IgA,22,88,1
IgA,23,89,2
IgA,23,90,2
IgA,23,91,2
IgA,23,92,2
IgA,24,93,1
IgA,24,94,1
IgA,24,95,1
IgA,24,96,1
IgA,25,97,2
IgA,25,98,2
IgA,25,99,2
IgA,25,100,2
IgG,26,101,1
IgG,26,102,1
IgG,26,103,1
IgG,26,104,1
IgG,27,105,2
IgG,27,106,2
IgG,27,107,2
IgG,27,108,2
IgG,28,109,1
IgG,28,110,1
IgG,28,111,1
IgG,28,112,1
IgG,29,113,2
IgG,29,114,2
IgG,29,115,2
IgG,29,116,2
IgG,30,117,1
IgG,30,118,1
IgG,30,119,1
IgG,30,120,1
IgG,31,121,2
IgG,31,122,2
IgG,31,123,2
IgG,31,124,2
IgG,32,125,1
IgG,32,126,1
IgG,32,127,1
IgG,32,128,1
IgG,33,129,2
IgG,33,130,2
IgG,33,131,2
IgG,33,132,2
thermal,34,4,2
thermal,34,136,2
