Target,Group,Ring,Channel
thermal,1,3,1
thermal,1,135,1
Left,2,5,1
Left,2,6,1
Left,2,7,1
Left,2,8,1
Left,3,9,2
Left,3,10,2
Left,3,11,2
Left,3,12,2
Left,4,13,1
Left,4,14,1
Left,4,15,1
Left,4,16,1
Left,5,17,2
Left,5,18,2
Left,5,19,2
Left,5,20,2
Left,6,21,1
Left,6,22,1
Left,6,23,1
Left,6,24,1
Left,7,25,2
Left,7,26,2
Left,7,27,2
Left,7,28,2
Left,8,29,1
Left,8,30,1
Left,8,31,1
Left,8,32,1
Left,9,33,2
Left,9,34,2
Left,9,35,2
Left,9,36,2
Left,10,37,1
Left,10,38,1
Left,10,39,1
Left,10,40,1
Left,11,41,2
Left,11,42,2
Left,11,43,2
Left,11,44,2
Center,12,45,1
Center,12,46,1
Center,12,47,1
Center,12,48,1
Center,13,49,2
Center,13,50,2
Center,13,51,2
Center,13,52,2
Center,14,53,1
Center,14,54,1
Center,14,55,1
Center,14,56,1
Center,15,57,2
Center,15,58,2
Center,15,59,2
Center,15,60,2
Center,16,61,1
Center,16,62,1
Center,16,63,1
Center,16,64,1
Center,17,65,2
Center,17,66,2
Center,17,67,2
Center,17,68,2
Center,18,69,1
Center,18,70,1
Center,18,71,1
Center,18,72,1
Center,19,73,2
Center,19,74,2
Center,19,75,2
Center,19,76,2
Center,20,77,1
Center,20,78,1
Center,20,79,1
Center,20,80,1
Center,21,81,2
Center,21,82,2
Center,21,83,2
Center,21,84,2
Center,22,85,1
Center,22,86,1
Center,22,87,1
Center,22,88,1
Center,23,89,2
Center,23,90,2
Center,23,91,2
Center,23,92,2
Right,24,93,1
Right,24,94,1
Right,24,95,1
Right,24,96,1
Right,25,97,2
Right,25,98,2
Right,25,99,2
Right,25,100,2
Right,26,101,1
Right,26,102,1
Right,26,103,1
Right,26,104,1
Right,27,105,2
Right,27,106,2
Right,27,107,2
Right,27,108,2
Right,28,109,1
Right,28,110,1
Right,28,111,1
Right,28,112,1
Right,29,113,2
Right,29,114,2
Right,29,115,2
Right,29,116,2
Right,30,117,1
Right,30,118,1
Right,30,119,1
Right,30,120,1
Right,31,121,2
Right,31,122,2
Right,31,123,2
Right,31,124,2
Right,32,125,1
Right,32,126,1
Right,32,127,1
Right,32,128,1
Right,33,129,2
Right,33,130,2
Right,33,131,2
Right,33,132,2
thermal,34,4,2
thermal,34,136,2
